111	66600
112	28125
121	49479
122	63991
123	5958
210	16129
220	443522
内蒙古自治区
子	623
村	484
家	474
营	355
沟	340
大	281
东	247
山	231
西	217
新	212
兴	194
三	178
胜	165
河	155
地	149
合	133
道	129
场	129
二	127
五	125
小	125
永	124
图	123
南	123
红	119
平	114
房	111
四	108
尔	107
堡	107
分	106
哈	105
号	103
窝	103
北	102
拉	101
泉	100
窑	99
乌	95
力	92
梁	91
树	85
湾	85
林	84
木	84
太	82
丰	82
城	81
十	81
井	81
圪	80
屯	79
行	79
政	78
台	77
马	75
塔	74
庄	74
兰	73
前	72
安	72
庙	71
双	71
石	71
水	69
海	69
和	68
沙	67
白	67
隆	67
宝	66
日	65
后	64
头	64
六	62
光	62
发	61
阳	60
包	59
一	59
巴	59
龙	59
民	58
德	58
八	57
苏	57
达	56
王	56
格	56
布	56
福	56
铺	55
壕	53
七	52
古	49
富	49
保	48
老	47
联	46
星	46
河南省
庄	9317
村	4139
楼	2351
王	2077
寨	1836
张	1738
西	1614
李	1612
大	1612
东	1544
刘	1334
营	1201
岗	1151
南	1038
小	1022
庙	973
杨	966
马	941
河	924
店	910
家	895
后	885
沟	879
北	847
赵	776
前	773
陈	771
湾	762
桥	637
集	622
里	591
街	558
高	556
郭	549
屯	530
黄	522
老	503
山	466
石	459
寺	451
口	442
坡	439
朱	437
吴	421
堂	415
孙	413
胡	405
三	397
新	393
园	382
洼	378
白	374
韩	357
周	356
徐	353
头	349
关	338
宋	336
城	302
曹	289
林	283
田	281
龙	279
孟	259
中	255
贾	249
上	248
丁	245
子	242
辛	239
冯	236
牛	236
董	231
门	230
岭	227
双	225
固	217
罗	211
水	210
官	205
安	205
郑	205
台	204
袁	203
杜	202
树	201
柳	199
常	193
梁	191
范	190
古	189
闫	188
崔	188
元	186
花	184
魏	183
许	183
井	183
吕	183
窑	182
